date,followers,source
2023-11-30,250,Typefully
2023-12-31,273,Typefully
2024-01-31,314,Typefully
2024-02-29,1054,Typefully
2024-03-31,1272,Typefully
2024-04-30,1538,Typefully
2024-05-31,1688,Typefully
2024-06-30,2096,Typefully
2024-07-31,3130,Typefully
2024-08-17,8583,Typefully
2024-08-31,8808,Typefully
2024-09-30,9649,Typefully
2024-10-31,9761,Typefully
2024-11-30,9926,Typefully
2024-12-31,10196,Typefully
2025-01-31,10191,Typefully
2025-02-28,10522,Typefully
2025-03-31,10616,Typefully
2025-04-30,10694,Typefully
2025-05-31,10884,Typefully
2025-06-30,10868,Typefully
2025-07-31,10891,Typefully
2025-08-16,10990,Typefully
2025-08-31,11030,Typefully
2025-09-30,11537,Typefully
2025-10-31,12434,Typefully
2025-11-30,12447,Typefully
2026-08-15,16435,Typefully
